,fine_label,prediction,sent
11199,3,1,Maybe he was reading the minds of the audience .
11202,2,4,"A well-acted , but one-note film ."
11204,1,0,The movie is too amateurishly square to make the most of its own ironic implications .
11206,3,4,"And Lee seems just as expectant of an adoring , wide-smiling reception ."
11207,0,3,There 's not one decent performance from the cast and not one clever line of dialogue .
11208,0,1,"No amount of burning , blasting , stabbing , and shooting can hide a weak script ."
11209,1,3,"It 's an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise ."
11211,2,3,The Armenian genocide deserves a more engaged and honest treatment .
11212,1,3,Earnest yet curiously tepid and choppy recycling in which predictability is the only winner .
11214,3,1,"The exploitative , clumsily staged violence overshadows everything , including most of the actors ."
11215,0,1,"We started to wonder if ... some unpaid intern had just typed ` Chris Rock , ' ` Anthony Hopkins ' and ` terrorists ' into some Univac-like script machine ."
11219,0,1,"When you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble ."
11223,0,1,"But this new jangle of noise , mayhem and stupidity must be a serious contender for the title ."
11226,0,1,"Rollerball IS as bad as you think , and worse than you can imagine ."
11228,0,1,"We assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low ."
11232,2,1,Suffers from a decided lack of creative storytelling .
11233,1,2,"Violent , vulgar and forgettably entertaining ."
11235,0,1,"With a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard ."
11237,2,1,When the twist endings were actually surprising ?
11238,2,1,When the violence actually shocked ?
11239,2,1,When the heroes were actually under 40 ?
11242,0,3,This movie plays like an extended dialogue exercise in Retard 101 .
11243,0,1,What we get in FearDotCom is more like something from a bad Clive Barker movie .
11244,0,1,"In other words , it 's badder than bad ."
11245,1,3,"If they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands I kept looking for the last exit from Brooklyn ."
11248,1,2,Where the film falters is in its tone .
11250,1,3,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness ."
11251,2,3,"It 's supposed to be a humorous , all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up ."
11252,0,1,Feels more like a rejected X-Files episode than a credible account of a puzzling real-life happening .
11253,2,3,Some motion pictures portray ultimate passion ; others create ultimate thrills .
11254,0,1,Men in Black II achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as Whiffle-Ball epic .
11255,2,3,"An enigmatic film that 's too clever for its own good , it 's a conundrum not worth solving ."
11256,0,1,"A zombie movie in every sense of the word -- mindless , lifeless , meandering , loud , painful , obnoxious ."
11257,2,3,A film that clearly means to preach exclusively to the converted .
11258,0,1,"It does n't take a rocket scientist to figure out that this is a Mormon family movie , and a sappy , preachy one at that ."
11264,1,2,Nothing but an episode of Smackdown !
11265,2,1,in period costume and with a bigger budget .
11267,0,3,"While the story is better-focused than the incomprehensible Anne Rice novel it 's based upon , Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle ."
11268,1,3,"It should be interesting , it should be poignant , it turns out to be affected and boring ."
11269,2,1,A good-looking but ultimately pointless political thriller with plenty of action and almost no substance .
11270,0,1,"A tired , predictable , bordering on offensive , waste of time , money and celluloid ."
11272,0,1,"Stealing Harvard will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : A few early laughs scattered around a plot as thin as it is repetitious ."
11273,1,0,This is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors .
11274,2,1,Does anyone much think the central story of Brendan Behan is that he was a bisexual sweetheart before he took to drink ?
11275,0,3,"` Martin Lawrence Live ' is so self-pitying , I almost expected there to be a collection taken for the comedian at the end of the show ."
11277,1,3,"Never decides whether it wants to be a black comedy , drama , melodrama or some combination of the three ."
11279,2,1,Does what should seem impossible : it makes serial killer Jeffrey Dahmer boring .
11280,2,1,Do n't hate El Crimen del Padre Amaro because it 's anti-Catholic .
11281,0,1,Hate it because it 's lousy .
11283,0,3,"Like a bad improvisation exercise , the superficially written characters ramble on tediously about their lives , loves and the art they 're struggling to create ."
11285,3,1,Competently directed but terminally cute drama .
11287,1,0,Not just unlikable .
11289,0,1,Disgusting .
11292,3,1,Those eternally devoted to the insanity of Black will have an intermittently good time .
11293,0,1,Feel free to go get popcorn whenever he 's not onscreen .
11294,1,3,"The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows ."
11295,3,1,"The work of an exhausted , desiccated talent who ca n't get out of his own way ."
11296,0,3,"The main characters are simply named The Husband , The Wife and The Kidnapper , emphasizing the disappointingly generic nature of the entire effort ."
11298,0,1,"Swims in mediocrity , sticking its head up for a breath of fresh air now and then ."
11300,0,1,"The characters ... are paper-thin , and their personalities undergo radical changes when it suits the script ."
11301,2,1,A Sha-Na-Na sketch punctuated with graphic violence .
11304,0,2,- spy action flick with Antonio Banderas and Lucy Liu never comes together .
11305,0,4,"A so-so , made-for-TV something posing as a real movie ."
11306,2,1,"The only upside to all of this unpleasantness is , given its Labor Day weekend upload , FearDotCom should log a minimal number of hits ."
11307,1,3,"Whether this is art imitating life or life imitating art , it 's an unhappy situation all around ."
11308,1,3,An uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .
11312,0,1,"Time literally stops on a dime in the tries-so-hard-to-be-cool `` Clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life ."
11313,1,3,"The sort of picture in which , whenever one of the characters has some serious soul searching to do , they go to a picture-perfect beach during sunset ."
11314,2,4,"Aptly named , this shimmering , beautifully costumed and filmed production does n't work for me ."
11315,2,1,A preposterously melodramatic paean to gang-member teens in Brooklyn circa 1958 .
11318,2,3,An extraordinarily silly thriller .
11320,0,1,Gaping plot holes sink this ` sub ' - standard thriller and drag audience enthusiasm to crush depth .
11326,0,3,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted .
11327,0,1,No amount of good intentions is able to overcome the triviality of the story .
11330,1,3,"... for all its social and political potential , State Property does n't end up being very inspiring or insightful ."
11332,1,3,"Little more than a stylish exercise in revisionism whose point ... is no doubt true , but serves as a rather thin moral to such a knowing fable ."
11333,0,1,"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ."
11334,1,0,"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy ."
11337,2,4,"Ensemble movies , like soap operas , depend on empathy ."
11338,2,1,"If there ai n't none , you have a problem ."
11340,2,1,Yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a ca n't - miss heist -- only to have it all go wrong .
11341,0,1,Koepp 's screenplay is n't nearly surprising or clever enough to sustain a reasonable degree of suspense on its own .
11342,1,3,Is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?
11343,1,3,"More successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
11344,0,1,"Clumsy , obvious , preposterous , the movie will likely set the cause of woman warriors back decades ."
11346,0,1,"Rather , pity anyone who sees this mishmash ."
11347,0,1,"A banal , virulently unpleasant excuse for a romantic comedy ."
11348,1,3,The drama discloses almost nothing .
11349,1,2,A minor-league soccer remake of The Longest Yard .
11350,1,4,"Belongs in the too-hot-for-TV direct-to-video\/DVD category , and this is why I have given it a one-star rating ."
11351,1,3,"As earnest as a community-college advertisement , American Chai is enough to make you put away the guitar , sell the amp , and apply to medical school ."
11352,0,1,"A dim-witted and lazy spin-off of the Animal Planet documentary series , Crocodile Hunter is entertainment opportunism at its most glaring ."
11353,2,1,There is more than one joke about putting the toilet seat down .
11354,2,1,And that should tell you everything you need to know about All the Queen 's Men .
11356,2,3,"It 's really just another silly Hollywood action film , one among a multitude of simple-minded , yahoo-ing death shows ."
11357,2,3,"It 's not a particularly good film , but neither is it a monsterous one ."
11358,4,3,The world needs more filmmakers with passionate enthusiasms like Martin Scorsese .
11359,2,1,But it does n't need Gangs of New York .
11360,2,3,"Enchanted with low-life tragedy and liberally seasoned with emotional outbursts ... What is sorely missing , however , is the edge of wild , lunatic invention that we associate with Cage 's best acting ."
11361,2,1,"Harry Potter and the Chamber of Secrets is deja vu all over again , and while that is a cliche , nothing could be more appropriate ."
11362,2,1,It 's likely that whatever you thought of the first production -- pro or con -- you 'll likely think of this one .
11363,0,1,Sade achieves the near-impossible : It turns the Marquis de Sade into a dullard .
11367,0,3,"Unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making ."
11368,1,3,"Unless there are zoning ordinances to protect your community from the dullest science fiction , Impostor is opening today at a theater near you ."
11369,0,1,"It should be doing a lot of things , but does n't ."
11370,1,3,"Chen films the resolutely downbeat Smokers Only with every indulgent , indie trick in the book ."
11371,1,2,... a rather bland affair .
11372,2,1,"Far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love ."
11373,2,3,"The movie tries to be ethereal , but ends up seeming goofy ."
11374,2,3,"I was hoping that it would be sleazy and fun , but it was neither ."
11375,2,1,"Harris is supposed to be the star of the story , but comes across as pretty dull and wooden ."
11376,0,3,"Soulless and -- even more damning -- virtually joyless , XXX achieves near virtuosity in its crapulence ."
11378,0,1,"All the Queen 's Men is a throwback war movie that fails on so many levels , it should pay reparations to viewers ."
11384,0,1,"If you go , pack your knitting needles ."
11385,0,4,The lead actors share no chemistry or engaging charisma .
11387,0,1,"Some writer dude , I think his name was , uh , Michael Zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that I ever saw that was written down were the zeroes on my paycheck ."
11389,0,1,"It is dark , brooding and slow , and takes its central idea way too seriously ."
11392,1,3,"It feels like very light Errol Morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs ."
11393,0,3,A period story about a Catholic boy who tries to help a Jewish friend get into heaven by sending the audience straight to hell .
11394,0,1,The premise itself is just SOOOOO tired .
11395,0,1,Pair that with really poor comedic writing ... and you 've got a huge mess .
11396,1,3,"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness ."
11397,1,2,Did we really need a remake of `` Charade ? ''
11398,2,1,"Some movies can get by without being funny simply by structuring the scenes as if they were jokes : a setup , delivery and payoff ."
11400,0,1,Each scene immediately succumbs to gravity and plummets to earth .
11403,1,3,I spied with my little eye ... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits
11405,1,4,The satire is just too easy to be genuinely satisfying .
11406,0,3,Less funny than it should be and less funny than it thinks it is .
11407,2,1,"an `` O Bruin , Where Art Thou ? ''"
11410,0,1,An awful movie that will only satisfy the most emotionally malleable of filmgoers .
11411,0,1,"... the story is far-flung , illogical , and plain stupid ."
11412,0,1,The very simple story seems too simple and the working out of the plot almost arbitrary .
11413,1,3,"An allegory concerning the chronically mixed signals African American professionals get about overachieving could be intriguing , but the supernatural trappings only obscure the message ."
11414,2,3,"A very familiar tale , one that 's been told by countless filmmakers about Italian - , Chinese - , Irish - , Latin - , Indian - , Russian - and other hyphenate American young men struggling to balance conflicting cultural messages ."
11416,2,3,"Essentially , the film is weak on detail and strong on personality"
11419,1,3,"Too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community ."
11421,2,3,"... a ho-hum affair , always watchable yet hardly memorable ."
11422,0,1,Swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress Andie MacDowell .
11423,1,3,"The histrionic muse still eludes Madonna and , playing a charmless witch , she is merely a charmless witch ."
11424,0,3,You have no affinity for most of the characters .
11425,1,3,Nothing about them is attractive .
11428,2,1,A technically well-made suspenser ... but its abrupt drop in IQ points as it races to the finish line proves simply too discouraging to let slide .
11429,0,1,"An inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more ."
11432,2,1,Eckstraordinarily lame and Severely boring .
11434,1,3,"No matter how much he runs around and acts like a doofus , accepting a 50-year-old in the role is creepy in a Michael Jackson sort of way ."
11435,0,1,You 'll just have your head in your hands wondering why Lee 's character did n't just go to a bank manager and save everyone the misery .
11437,2,1,"In his determination to lighten the heavy subject matter , Silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls ."
11438,2,1,"Blade II has a brilliant director and charismatic star , but it suffers from rampant vampire devaluation ."
11439,2,1,Veers uncomfortably close to pro-Serb propaganda .
11440,0,3,Movies like High Crimes flog the dead horse of surprise as if it were an obligation .
11441,0,1,How about surprising us by trying something new ?
11442,0,2,Final verdict : You 've seen it all before .
11445,0,3,"Further sad evidence that Tom Tykwer , director of the resonant and sense-spinning Run Lola Run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap ."
11446,0,1,You 'll trudge out of the theater feeling as though you rode the Zipper after eating a corn dog and an extra-large cotton candy .
11447,2,3,The movie is a little tired ; maybe the original inspiration has run its course .
11448,2,3,This will go on so long as there are moviegoers anxious to see strange young guys doing strange guy things .
11449,0,4,A full-frontal attack on audience patience .
11450,2,1,"Any intellectual arguments being made about the nature of God are framed in a drama so clumsy , there is a real danger less sophisticated audiences will mistake it for an endorsement of the very things that Bean abhors ."
11453,2,1,One gets the impression the creators of Do n't Ask Do n't Tell laughed a hell of a lot at their own jokes .
11454,0,1,Too bad none of it is funny .
11455,2,3,"The cast has a high time , but de Broca has little enthusiasm for such antique pulp ."
11456,1,3,"The film , like Jimmy 's routines , could use a few good laughs ."
11457,2,1,"The film has too many spots where it 's on slippery footing , but is acceptable entertainment for the entire family and one that 's especially fit for the kiddies ."
11458,1,3,Purports to be a Hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging .
11459,3,4,"Oh , and more entertaining , too ."
11460,0,1,... in the pile of useless actioners from MTV schmucks who do n't know how to tell a story for more than four minutes .
11461,2,3,"Though it was made with careful attention to detail and is well-acted by James Spader and Maggie Gyllenhaal , I felt disrespected ."
11464,2,1,"Skillful as he is , Mr. Shyamalan is undone by his pretensions ."
11465,2,1,"While the new film is much more eye-catching than its blood-drenched Stephen Norrington-directed predecessor , the new script by the returning David S. Goyer is much sillier ."
11466,0,3,"In addition to sporting one of the worst titles in recent cinematic history , Ballistic : Ecks Vs. Sever also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase ."
11467,2,1,"It shares the first two films ' loose-jointed structure , but laugh-out-loud bits are few and far between ."
11468,2,1,"The Santa Clause 2 is a barely adequate babysitter for older kids , but I 've got to give it thumbs down ."
11469,0,1,You can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .
11471,2,3,"If you 're really renting this you 're not interested in discretion in your entertainment choices , you 're interested in Anne Geddes , John Grisham , and Thomas Kincaid ."
11472,1,2,We get the comedy we settle for .
11473,1,3,The uneven movie does have its charms and its funny moments but not quite enough of them .
11474,2,1,Two hours of sepia-tinted heavy metal images and surround sound effects of people moaning .
11475,0,1,A word of advice to the makers of The Singles Ward : Celebrity cameos do not automatically equal laughs .
11478,1,3,Its appeal will probably limited to LDS Church members and undemanding armchair tourists .
11479,1,0,The Hanukkah spirit seems fried in pork .
11481,0,1,"Manipulative claptrap , a period-piece movie-of-the-week , plain old blarney ... take your pick ."
11482,1,3,"All three descriptions suit Evelyn , a besotted and obvious drama that tells us nothing new ."
11484,2,1,"is now stretched to barely feature length , with a little more attention paid to the animation ."
11487,0,1,Does n't come close to justifying the hype that surrounded its debut at the Sundance Film Festival two years ago .
11488,0,1,The plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .
11490,2,1,"The film did n't move me one way or the other , but it was an honest effort and if you want to see a flick about telemarketers this one will due ."
11494,0,3,"... Blade II is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
11496,1,3,"Though there are many tense scenes in Trapped , they prove more distressing than suspenseful ."
11497,2,4,"In this film we at least see a study in contrasts ; the wide range of one actor , and the limited range of a comedian ."
11498,0,3,Feels strangely hollow at its emotional core .
11499,2,3,"You have once again entered the bizarre realm where director Adrian Lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal ."
11501,1,3,This director 's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera .
11502,0,3,Characterisation has been sacrificed for the sake of spectacle .
11504,1,2,"That 's muy loco , but no more ridiculous than most of the rest of `` Dragonfly . ''"
11506,0,1,"If that does n't clue you in that something 's horribly wrong , nothing will ."
11508,0,1,"It 's difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ."
11509,0,3,"Like the Tuck family themselves , this movie just goes on and on and on and on"
11510,0,1,As pedestrian as they come .
11512,0,1,"It 's a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary ."
11513,2,3,"Put it somewhere between Sling Blade and South of Heaven , West of Hell in the pantheon of Billy Bob 's body of work ."
11518,1,3,"You come away thinking not only that Kate is n't very bright , but that she has n't been worth caring about and that maybe she , Janine and Molly -- an all-woman dysfunctional family -- deserve one another ."
11520,0,3,"Very much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all ."
11522,0,1,The attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .
11523,1,3,"It 's provocative stuff , but the speculative effort is hampered by Taylor 's cartoonish performance and the film 's ill-considered notion that Hitler 's destiny was shaped by the most random of chances ."
11524,0,1,"A cellophane-pop remake of the punk classic Ladies and Gentlemen , The Fabulous Stains ... Crossroads is never much worse than bland or better than inconsequential ."
11525,2,0,"Muddled , trashy and incompetent"
11526,1,3,"For this sort of thing to work , we need agile performers , but the proficient , dull Sorvino has no light touch , and Rodan is out of his league ."
11527,1,3,Narc is all menace and atmosphere .
11528,2,1,"Though excessively tiresome , The Uncertainty Principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore ."
11529,1,3,"Despite Juliet Stevenon 's attempt to bring cohesion to Pamela 's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs ."
11530,0,1,It 's tough to be startled when you 're almost dozing .
11532,1,3,It 's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead .
11533,0,1,A terrible movie that some people will nevertheless find moving .
11534,0,1,There are many definitions of ` time waster ' but this movie must surely be one of them .
11536,2,3,The thing looks like a made-for-home-video quickie .
11537,1,3,"Enigma is well-made , but it 's just too dry and too placid ."
11540,3,1,The Dangerous Lives of Altar Boys ' take on adolescence feels painfully true .
11541,4,3,It 's a masterpiece .
11544,3,2,And we do n't avert our eyes for a moment .
11546,4,3,"Third time 's the charm ... yeah , baby !"
11547,2,3,"A pleasant , if forgettable , romp of a film ."
11550,3,1,` Stock up on silver bullets for director Neil Marshall 's intense freight train of a film . '
11552,3,1,"As a film director , LaBute continues to improve ."
11553,4,3,Will warm your heart without making you feel guilty about it .
11554,3,4,Catch it ... if you can !
11556,1,3,"American and European cinema has amassed a vast Holocaust literature , but it is impossible to think of any film more challenging or depressing than The Grey Zone ."
11558,4,3,"It 's the kind of movie that , aside from Robert Altman , Spike Lee , the Coen Brothers and a few others , our moviemakers do n't make often enough ."
11560,3,1,"The script is smart , not cloying ."
11562,4,3,"A bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing ."
11564,3,2,An ambitious ` what if ? '
11566,3,1,"`` The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors"
11568,3,1,` Stock up on silver bullets for director Neil Marshall 's intense freight train of a film . '
11569,3,2,"It 's funny , as the old saying goes , because it 's true ."
11571,2,3,The filmmaker 's heart is in the right place ...
11572,3,1,From blushing to gushing -- Imamura squirts the screen in ` Warm Water Under a Red Bridge '
11573,4,3,"Apart from anything else , this is one of the best-sustained ideas I have ever seen on the screen ."
11574,3,1,"Not a schlocky creature feature but something far more stylish and cerebral -- and , hence , more chillingly effective ."
11575,0,1,"Stupid , infantile , redundant , sloppy , over-the-top , and amateurish ."
11576,2,1,"Yep , it 's `` Waking up in Reno . ''"
11579,1,2,I did n't smile .
11584,1,4,Eisenstein lacks considerable brio for a film about one of cinema 's directorial giants .
11586,1,2,This is no `` Waterboy ! ''
11587,1,3,Something has been lost in the translation ... another routine Hollywood frightfest in which the slack execution italicizes the absurdity of the premise .
11589,0,1,"... a movie that , quite simply , should n't have been made ."
11591,0,2,I ca n't recommend it .
11592,3,2,But it 's surprisingly harmless .
11593,3,2,What 's next ?
11594,2,1,The Porky 's Revenge : Ultimate Edition ?
11596,2,1,"There 's no real reason to see it , and no real reason not to ."
11598,1,2,Absolutely not .
11601,2,1,Please see previous answer .
11602,2,1,It 's exactly what you 'd expect .
11603,2,3,"`` The Kid Stays in the Picture '' is a great story , terrifically told by the man who wrote it but this Cliff Notes edition is a cheat ."
11605,2,1,The movie is obviously a labour of love so Howard appears to have had free rein to be as pretentious as he wanted .
11607,0,1,"What we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance ."
11609,1,0,The script ?
11611,0,1,Does n't add up to much .
11614,0,3,"Long before it 's over , you 'll be thinking of 51 ways to leave this loser ."
11618,4,1,Spiderman ROCKS
11621,3,4,Thoroughly enjoyable .
11622,4,3,"-LRB- A -RRB- rare , beautiful film ."
11623,3,2,Family fare .
11628,4,3,Compellingly watchable .
11629,3,2,Troubling and powerful .
11630,3,1,Often hilarious .
11632,3,1,Never once predictable .
11633,4,3,"An uplifting , near-masterpiece ."
11634,3,4,Warm and exotic .
11635,4,3,... a true delight .
11636,3,4,A true pleasure .
11637,3,1,"Polished , well-structured film ."
11638,4,3,Sexy and romantic .
11639,3,1,Psychologically savvy .
11640,4,2,delightfully rendered
11641,4,3,Fun and nimble .
11644,3,1,It strikes hardest ... when it reminds you how pertinent its dynamics remain .
11646,4,1,One-of-a-kind near-masterpiece .
11648,4,2,Highly engaging .
11650,4,2,A gripping drama .
11652,4,3,Smart and taut .
11653,4,1,Highly watchable stuff .
11657,2,1,Spare yet audacious ...
11658,3,2,Surprisingly insightful
11660,4,1,"Reassuring , retro uplifter ."
11661,4,3,Visually captivating .
11662,2,0,"Lavishly , exhilaratingly tasteless ."
11666,4,2,Refreshing .
11669,4,2,See it .
11671,3,2,Remember it .
11672,4,2,Morvern rocks .
11673,4,3,Intelligent and moving .
11674,3,1,Genuinely unnerving .
11676,3,1,Deliciously slow .
11679,3,4,A good thriller .
11680,2,1,A glorious mess .
11681,3,2,Neatly constructed thriller .
11682,3,4,Intimate and panoramic .
11691,3,1,Good-naturedly cornball sequel .
11693,2,1,Witless but watchable .
11694,4,3,"Mr. Deeds is sure to give you a lot of laughs in this simple , sweet and romantic comedy ."
11695,3,1,Hard to resist .
11696,4,3,A true-blue delight .
11698,1,2,Weird .
11699,3,1,Rewarding .
11702,4,1,A thought-provoking picture .
11704,1,3,Almost peerlessly unsettling .
11705,4,3,Delirious fun .
11706,4,3,Exciting and well-paced .
11707,4,3,Really quite funny .
11708,4,1,A well-executed spy-thriller .
11710,3,4,A funny film .
11714,2,3,Feels untidily honest .
11715,3,1,`` Red Dragon '' never cuts corners .
11716,3,1,Full of surprises .
11717,3,2,Quietly engaging .
11718,3,4,"Dense , exhilarating documentary ."
11719,4,2,a joyous occasion
11722,4,3,Great character interaction .
11723,4,3,Intriguing and stylish .
11724,3,4,Many insightful moments .
11725,1,2,Everything is off .
11726,2,1,Earnest but heavy-handed .
11727,1,0,One lousy movie .
11728,0,1,... hypnotically dull .
11729,2,1,Calculated swill .
11734,1,3,Aan opportunity wasted .
11737,0,4,Bad movie .
11741,0,2,Execrable .
11742,3,1,Amazingly dopey .
11743,0,1,Banal and predictable .
11745,0,1,Brisk hack job .
11747,0,1,... bibbidy-bobbidi-bland .
11752,2,4,So-so entertainment .
11759,0,1,Cinematic poo .
11760,1,0,... stale and uninspired .
11762,0,1,Pompous and garbled .
11763,0,1,Utter mush ... conceited pap .
11764,2,1,Well-meaning but inert .
11765,0,1,... overly melodramatic ...
11768,0,3,"Sluggish , tonally uneven ."
11769,0,1,Generic thriller junk .
11770,2,0,Teens only .
11771,1,3,A non-mystery mystery .
11773,1,2,A noble failure .
11775,0,1,... irritating soul-searching garbage .
11776,0,1,A relative letdown .
11778,2,3,A puzzling experience .
11780,0,1,Aggravating and tedious .
11781,1,3,Lacks depth .
11782,0,1,under-rehearsed and lifeless
11787,2,0,Just plain silly .
11789,2,1,... salaciously simplistic .
11791,0,4,A less-than-thrilling thriller .
11794,2,1,Eh .
11795,0,2,Black-and-white and unrealistic .
11799,1,0,"Anemic , pretentious ."
11801,2,1,It bites hard .
11803,0,3,Dramatically lackluster .
11804,0,1,Stay away .
11805,2,1,Far away .
11807,0,1,Predictably soulless techno-tripe .
11809,1,2,Incoherence reigns .
11810,0,1,A half-assed film .
11812,0,1,... unbearably lame .
11814,2,3,Dense and enigmatic ... elusive ... stagy and stilted
11816,2,1,A dreary indulgence .
11819,0,1,A major waste ... generic .
11820,1,0,... a confusing drudgery .
11822,0,1,Boring and meandering .
11824,0,1,A lame comedy .
11826,2,3,Mildly amusing .
11827,1,2,Fairly run-of-the-mill .
11828,2,4,Mildly entertaining .
11829,0,1,Terrible .
11832,0,2,Crummy .
11833,1,3,An opportunity missed .
11836,1,3,Insufferably naive .
11838,0,1,Amazingly lame .
11841,0,1,... really horrible drek .
11843,1,4,"Flat , misguided comedy ."
11845,0,1,Rashomon-for-dipsticks tale .
11848,0,1,Staggeringly dreadful romance .
11849,3,1,Well-made but mush-hearted .
11850,0,1,A real snooze .
11852,3,1,"We 've seen the hippie-turned-yuppie plot before , but there 's an enthusiastic charm in Fire that makes the formula fresh again ."
11853,0,1,"Her fans walked out muttering words like `` horrible '' and `` terrible , '' but had so much fun dissing the film that they did n't mind the ticket cost ."
